topic,word,score
1,sun,0.010
1,hbc,0.007
1,accounting,0.007
1,production,0.006
1,trade,0.005
1,used,0.005
1,sung,0.005
1,use,0.005
1,post,0.005
1,cost,0.004
1,good,0.004
1,fur,0.004
1,one,0.004
1,year,0.004
1,outfit,0.004
1,record,0.004
1,management,0.003
1,simpson,0.003
1,yinghsing,0.003
1,information,0.003
2,accounting,0.000
2,history,0.000
2,sun,0.000
2,historical,0.000
2,historian,0.000
2,also,0.000
2,cost,0.000
2,work,0.000
2,new,0.000
2,1,0.000
2,evidence,0.000
2,professional,0.000
2,past,0.000
2,accountant,0.000
2,knowledge,0.000
2,peddie,0.000
2,time,0.000
2,one,0.000
2,production,0.000
2,profession,0.000
3,accounting,0.024
3,history,0.010
3,historical,0.006
3,historian,0.005
3,profession,0.005
3,research,0.005
3,accountant,0.005
3,knowledge,0.004
3,past,0.004
3,professional,0.004
3,within,0.004
3,work,0.004
3,may,0.004
3,system,0.004
3,n,0.003
3,1,0.003
3,status,0.003
3,practice,0.003
3,evidence,0.003
3,event,0.003
4,domesday,0.011
4,peddie,0.008
4,professional,0.006
4,also,0.006
4,society,0.005
4,accountant,0.005
4,member,0.005
4,land,0.004
4,public,0.004
4,cornelius,0.004
4,sae,0.004
4,william,0.004
4,king,0.003
4,accounting,0.003
4,would,0.003
4,ibid,0.003
4,income,0.003
4,book,0.003
4,value,0.003
4,feudal,0.003
5,cost,0.018
5,new,0.018
5,zealand,0.016
5,accounting,0.014
5,accountant,0.008
5,institute,0.008
5,nzica,0.008
5,member,0.007
5,aica,0.007
5,general,0.005
5,profession,0.004
5,council,0.004
5,examination,0.004
5,year,0.004
5,annual,0.004
5,body,0.004
5,paper,0.004
5,1,0.003
5,membership,0.003
5,nzsa,0.003
