doc,1,2,3
data/abs_(id=12)__(issue=No 6 (2019))__(year=2019).txt,0.03679100051522255,0.9259504079818726,0.037258584052324295
data/abs_(id=23)__(issue=No 4 (2019))__(year=2019).txt,0.06659359484910965,0.8713812232017517,0.062025200575590134
data/abs_(id=2)__(issue=No 8 (2020))__(year=2020).txt,0.042386315762996674,0.9162228107452393,0.04139089211821556
data/abs_(id=30)__(issue=No 4 (2019))__(year=2019).txt,0.9051171541213989,0.04865358769893646,0.046229276806116104
data/abs_(id=1)__(issue=No 8 (2020))__(year=2020).txt,0.039779771119356155,0.0412028543651104,0.9190173745155334
data/abs_(id=20)__(issue=No 4 (2019))__(year=2019).txt,0.8411587476730347,0.08069922775030136,0.07814207673072815
data/abs_(issue=No 6 (2019))__(year=2019).txt,0.036794036626815796,0.9259516000747681,0.03725435957312584
data/abs_(id=11)__(issue=No 6 (2019))__(year=2019).txt,0.051429688930511475,0.8989763855934143,0.049593936651945114
data/abs_(id=35)__(issue=No 2 (2018))__(year=2018).txt,0.9106985926628113,0.04612692445516586,0.043174441903829575
data/abs_(id=5)__(issue=No 7 (2019))__(year=2019).txt,0.03743214160203934,0.9252000451087952,0.03736777976155281
data/abs_(id=41)__(issue=No 1 (2017))__(year=2017).txt,0.9192174077033997,0.04126004874706268,0.03952251747250557
data/abs_(id=26)__(issue=No 4 (2019))__(year=2019).txt,0.9029445052146912,0.05016987398266792,0.0468856617808342
data/abs_(id=9)__(issue=No 6 (2019))__(year=2019).txt,0.046221084892749786,0.04685299098491669,0.9069259166717529
data/abs_(id=42)__(issue=No 1 (2017))__(year=2017).txt,0.050682444125413895,0.8988909721374512,0.05042661726474762
data/abs_(id=36)__(issue=No 2 (2018))__(year=2018).txt,0.03987376019358635,0.9196316599845886,0.04049455747008324
data/abs_(id=25)__(issue=No 4 (2019))__(year=2019).txt,0.8716280460357666,0.0658007487654686,0.06257117539644241
data/abs_(id=13)__(issue=No 5 (2019))__(year=2019).txt,0.058818187564611435,0.8824061155319214,0.05877571180462837
data/abs_(issue=No 1 (2017))__(year=2017).txt,0.050668295472860336,0.8989145159721375,0.05041716247797012
data/abs_(id=39)__(issue=No 2 (2018))__(year=2018).txt,0.04607098549604416,0.907222330570221,0.0467066764831543
data/abs_(id=29)__(issue=No 4 (2019))__(year=2019).txt,0.07200709730386734,0.0658518522977829,0.8621410131454468
data/abs_(id=6)__(issue=No 6 (2019))__(year=2019).txt,0.0398210771381855,0.04272771626710892,0.9174512028694153
data/abs_(id=16)__(issue=No 5 (2019))__(year=2019).txt,0.04499320685863495,0.04608878493309021,0.9089179635047913
data/abs_(id=15)__(issue=No 5 (2019))__(year=2019).txt,0.9029185175895691,0.05036335065960884,0.04671810194849968
data/abs_(issue=No 7 (2019))__(year=2019).txt,0.03742791712284088,0.9252094030380249,0.03736261650919914
data/abs_(id=19)__(issue=No 4 (2019))__(year=2019).txt,0.8315060138702393,0.08631742745637894,0.08217655122280121
data/abs_(id=33)__(issue=No 3 (2018))__(year=2018).txt,0.039324063807725906,0.9212195873260498,0.03945634514093399
data/abs_(id=18)__(issue=No 4 (2019))__(year=2019).txt,0.8983455896377563,0.05185766518115997,0.04979674518108368
data/abs_(id=14)__(issue=No 5 (2019))__(year=2019).txt,0.04216153547167778,0.041303765028715134,0.9165346622467041
data/abs_(id=32)__(issue=No 3 (2018))__(year=2018).txt,0.046482641249895096,0.05087694153189659,0.9026404023170471
data/abs_(issue=No 8 (2020))__(year=2020).txt,0.9083694219589233,0.04608367383480072,0.045546893030405045
data/abs_(id=28)__(issue=No 4 (2019))__(year=2019).txt,0.8941030502319336,0.056843824684619904,0.04905309900641441
data/abs_(id=7)__(issue=No 6 (2019))__(year=2019).txt,0.0520300529897213,0.05551043525338173,0.892459511756897
data/abs_(issue=No 3 (2018))__(year=2018).txt,0.039328478276729584,0.9212058782577515,0.03946560248732567
data/abs_(issue=No 5 (2019))__(year=2019).txt,0.04499318078160286,0.0460919626057148,0.9089148044586182
data/abs_(id=38)__(issue=No 2 (2018))__(year=2018).txt,0.06798642873764038,0.8627041578292847,0.06930943578481674
data/abs_(issue=No 4 (2019))__(year=2019).txt,0.050506968051195145,0.899410605430603,0.05008241906762123
data/abs_(issue=No 2 (2018))__(year=2018).txt,0.046067047864198685,0.9072234630584717,0.04670944809913635
data/abs_(id=24)__(issue=No 4 (2019))__(year=2019).txt,0.8849663734436035,0.05775512009859085,0.05727851390838623
data/abs_(id=37)__(issue=No 2 (2018))__(year=2018).txt,0.040094610303640366,0.9204949736595154,0.03941039368510246
data/abs_(id=27)__(issue=No 4 (2019))__(year=2019).txt,0.04439147561788559,0.04760044813156128,0.9080080986022949
data/abs_(id=8)__(issue=No 6 (2019))__(year=2019).txt,0.04896651208400726,0.9009920358657837,0.05004148557782173
data/abs_(id=40)__(issue=No 1 (2017))__(year=2017).txt,0.03747130557894707,0.038904059678316116,0.9236246943473816
data/abs_(id=34)__(issue=No 2 (2018))__(year=2018).txt,0.05041096359491348,0.04951193928718567,0.9000771045684814
data/abs_(id=4)__(issue=No 7 (2019))__(year=2019).txt,0.04486599192023277,0.044671978801488876,0.9104620218276978
data/abs_(id=0)__(issue=No 8 (2020))__(year=2020).txt,0.05017094314098358,0.8992164134979248,0.05061263218522072
data/abs_(id=21)__(issue=No 4 (2019))__(year=2019).txt,0.08034730702638626,0.8460306525230408,0.07362201064825058
