topic,word,score
1,the,0.065
1,of,0.045
1,and,0.031
1,a,0.027
1,to,0.025
1,in,0.023
1,accounting,0.012
1,that,0.011
1,for,0.009
1,is,0.008
1,by,0.008
1,it,0.008
1,wa,0.008
1,be,0.005
1,with,0.005
1,this,0.005
1,history,0.005
1,on,0.004
1,an,0.004
1,from,0.004
1,which,0.004
1,were,0.004
1,have,0.004
1,not,0.004
1,their,0.004
2,of,0.000
2,the,0.000
2,and,0.000
2,to,0.000
2,a,0.000
2,in,0.000
2,that,0.000
2,accounting,0.000
2,wa,0.000
2,for,0.000
2,is,0.000
2,by,0.000
2,it,0.000
2,from,0.000
2,be,0.000
2,with,0.000
2,were,0.000
2,this,0.000
2,have,0.000
2,on,0.000
2,which,0.000
2,or,0.000
2,their,0.000
2,are,0.000
2,an,0.000
3,the,0.055
3,of,0.041
3,in,0.025
3,and,0.025
3,to,0.016
3,a,0.015
3,sun,0.012
3,that,0.011
3,is,0.010
3,for,0.009
3,sung,0.006
3,1966,0.006
3,by,0.006
3,production,0.006
3,are,0.005
3,be,0.005
3,he,0.005
3,this,0.005
3,with,0.004
3,wa,0.004
3,from,0.004
3,yinghsing,0.004
3,or,0.004
3,one,0.004
3,used,0.004
4,the,0.081
4,of,0.045
4,and,0.031
4,to,0.028
4,a,0.020
4,in,0.019
4,wa,0.013
4,for,0.013
4,that,0.009
4,by,0.008
4,were,0.008
4,it,0.007
4,with,0.006
4,from,0.006
4,on,0.005
4,be,0.005
4,which,0.004
4,this,0.004
4,peddie,0.004
4,his,0.004
4,is,0.004
4,or,0.004
4,an,0.004
4,had,0.004
4,hbc,0.004
5,the,0.000
5,of,0.000
5,and,0.000
5,a,0.000
5,to,0.000
5,in,0.000
5,for,0.000
5,that,0.000
5,wa,0.000
5,it,0.000
5,is,0.000
5,accounting,0.000
5,be,0.000
5,with,0.000
5,or,0.000
5,from,0.000
5,by,0.000
5,on,0.000
5,are,0.000
5,history,0.000
5,their,0.000
5,this,0.000
5,were,0.000
5,an,0.000
5,which,0.000
