doc,1,2,3,4,5,6,7,8,9,10,11,12,13
"text/352_(area= business, management and accounting;;economics, econometrics and finance)_(period= 2011-2017).txt",0.3705146610736847,0.013502097688615322,0.013502100482583046,0.013502314686775208,0.013502232730388641,0.013502025976777077,0.013502216897904873,0.48096200823783875,0.013502031564712524,0.013502026908099651,0.013502038083970547,0.01350210327655077,0.013502109795808792
"text/477_(area= biochemistry, genetics and molecular biology;;environmental science;;medicine)_(period= 2011-2017).txt",0.010507584549486637,0.01050735916942358,0.01050769817084074,0.010508069768548012,0.01050738338381052,0.010507428087294102,0.010507944040000439,0.41367074847221375,0.4707461893558502,0.010507328435778618,0.010507402941584587,0.010507357306778431,0.01050750445574522
text/362_(area= medicine)_(period= 2011-2017).txt,0.5283946394920349,0.010648800060153008,0.010646523907780647,0.010647756978869438,0.010646442882716656,0.010646472685039043,0.010648987255990505,0.35448551177978516,0.010646418668329716,0.010646400041878223,0.010646904818713665,0.010647090151906013,0.010648038238286972
text/259_(area= engineering;;social sciences)_(period= 2005-2010).txt,0.011454787105321884,0.011454719118773937,0.011454739607870579,0.011454753577709198,0.011454794555902481,0.2719210386276245,0.011454954743385315,0.5127388834953308,0.011454724706709385,0.01145464088767767,0.10079260170459747,0.011454641819000244,0.011454698629677296
text/36_(area= medicine)_(period= 1998-2004).txt,0.01272058766335249,0.012720804661512375,0.012720995582640171,0.012720640748739243,0.012720589525997639,0.01272053923457861,0.01272057369351387,0.4416060447692871,0.0127206239849329,0.012722712010145187,0.012720509432256222,0.4184648096561432,0.012720596976578236
text/253_(area= medicine)_(period= 2005-2010).txt,0.014499280601739883,0.014499002136290073,0.014499034732580185,0.014499003998935223,0.014499042183160782,0.014499050565063953,0.014499162323772907,0.6518648862838745,0.014499026350677013,0.01449900958687067,0.18864545226097107,0.0144990598782897,0.014499015174806118
text/540_(area= arts and humanities;;social sciences)_(period= 2011-2017).txt,0.009705792181193829,0.009705726057291031,0.009705774486064911,0.009705647826194763,0.009705640375614166,0.45946523547172546,0.009705839678645134,0.4337717294692993,0.009705853648483753,0.009705713950097561,0.00970568135380745,0.00970569159835577,0.009705695323646069
text/518_(area= computer science;;decision sciences;;social sciences)_(period= 2011-2017).txt,0.012199008837342262,0.012204250320792198,0.012198278680443764,0.012199021875858307,0.012198036536574364,0.012200993485748768,0.012197528034448624,0.8536144495010376,0.012198192998766899,0.012197031639516354,0.012198892422020435,0.012196937575936317,0.012197387404739857
text/473_(area= medicine)_(period= 2011-2017).txt,0.009250272996723652,0.009250340983271599,0.009250304661691189,0.009250304661691189,0.009250338189303875,0.009250420145690441,0.009250330738723278,0.653860330581665,0.009250313974916935,0.009250315837562084,0.009250251576304436,0.009250268340110779,0.24438613653182983
text/108_(area= medicine)_(period= 1998-2004).txt,0.009757433086633682,0.3266603648662567,0.009757556952536106,0.00975727941840887,0.009757264517247677,0.009757389314472675,0.009757386520504951,0.566008985042572,0.009757257997989655,0.009757298976182938,0.009757342748343945,0.009757217951118946,0.009757233783602715
text/605_(area= computer science;;decision sciences;;social sciences)_(period= 2011-2017).txt,0.011826508678495884,0.011826436035335064,0.011827739886939526,0.011826512403786182,0.011836346238851547,0.011839048005640507,0.011831744574010372,0.6371597051620483,0.011829606257379055,0.011827420443296432,0.011827131733298302,0.011829899623990059,0.23271189630031586
text/566_(area= health professions;;medicine)_(period= 2011-2017).txt,0.011698240414261818,0.01169826090335846,0.060320112854242325,0.49688899517059326,0.011696914210915565,0.011697303503751755,0.01169806718826294,0.32581281661987305,0.011700217612087727,0.01169830746948719,0.011697432026267052,0.011696500703692436,0.011696850880980492
text/22_(area= medicine)_(period= 1998-2004).txt,0.009297913871705532,0.009297726675868034,0.009299924597144127,0.00929764099419117,0.009297838434576988,0.009297912940382957,0.009297660551965237,0.5949914455413818,0.302730917930603,0.009297705255448818,0.009297615848481655,0.009297625161707401,0.00929803866893053
"text/599_(area= medicine;;pharmacology, toxicology and pharmaceutics)_(period= 2011-2017).txt",0.0076540992595255375,0.007654110435396433,0.007654145359992981,0.007654103916138411,0.007654127664864063,0.007654430810362101,0.007654613349586725,0.9081498384475708,0.007654121611267328,0.007654129061847925,0.007654103916138411,0.0076541113667190075,0.007654107641428709
"text/271_(area= agricultural and biological sciences;;biochemistry, genetics and molecular biology;;medicine)_(period= 2005-2010).txt",0.009417299181222916,0.00941473338752985,0.009418172761797905,0.009415125474333763,0.00941728800535202,0.009413855150341988,0.009416641667485237,0.5097235441207886,0.009414453990757465,0.009415713138878345,0.3867056667804718,0.009413670748472214,0.009413879364728928
text/568_(area= immunology and microbiology;;medicine)_(period= 2011-2017).txt,0.008936343714594841,0.008936217986047268,0.051662858575582504,0.008936233818531036,0.008936074562370777,0.00893610529601574,0.008936185389757156,0.48410236835479736,0.008936054073274136,0.008936215192079544,0.37487319111824036,0.008936059661209583,0.008936100639402866
text/466_(area= medicine;;social sciences)_(period= 2011-2017).txt,0.6421098709106445,0.01033898163586855,0.010338973253965378,0.010338925756514072,0.010339293628931046,0.010339084081351757,0.010339049622416496,0.24416081607341766,0.010338953696191311,0.010339192114770412,0.0103389797732234,0.01033896766602993,0.010338939726352692
text/498_(area= medicine)_(period= 2011-2017).txt,0.010164734907448292,0.010164584033191204,0.01016469206660986,0.010164722800254822,0.010164575651288033,0.010164579376578331,0.010164651088416576,0.4156641662120819,0.010164453648030758,0.010164541192352772,0.010164723731577396,0.010164452716708183,0.47252511978149414
text/329_(area= health professions;;medicine;;nursing)_(period= 2011-2017).txt,0.4414927363395691,0.010689165443181992,0.01068916730582714,0.010689389891922474,0.010689490474760532,0.010689260438084602,0.01068915892392397,0.44092580676078796,0.010689150542020798,0.010689119808375835,0.01068909838795662,0.010689325630664825,0.010689109563827515
text/140_(area= medicine)_(period= 2005-2010).txt,0.009880108758807182,0.009880025871098042,0.4937029480934143,0.009880045428872108,0.00988013856112957,0.009880133904516697,0.009880149737000465,0.397615909576416,0.009880161844193935,0.009880063124001026,0.009880131110548973,0.009880014695227146,0.009880145080387592
"text/512_(area= biochemistry, genetics and molecular biology;;medicine)_(period= 2011-2017).txt",0.010885161347687244,0.49079257249832153,0.010885191150009632,0.010885138064622879,0.010885254479944706,0.010885201394557953,0.01088517252355814,0.38947054743766785,0.010885220021009445,0.01088513620197773,0.010885143652558327,0.010885125957429409,0.010885155759751797
text/598_(area= )_(period= 2011-2017).txt,0.008701557293534279,0.008701515384018421,0.008701527491211891,0.008701536804437637,0.008701605722308159,0.008701546117663383,0.0087016886100173,0.8955810070037842,0.008701764047145844,0.00870152935385704,0.008701715618371964,0.008701506070792675,0.00870154332369566
text/302_(area= )_(period= 2011-2017).txt,0.012477515265345573,0.012476146221160889,0.012478509917855263,0.012479095719754696,0.012476821430027485,0.012476739473640919,0.012476344592869282,0.1929052621126175,0.08322010934352875,0.01247802097350359,0.01248170342296362,0.5990967750549316,0.012476988136768341
text/392_(area= medicine;;social sciences)_(period= 2011-2017).txt,0.01209924928843975,0.01209928747266531,0.01209933776408434,0.012099270708858967,0.012099260464310646,0.012099461629986763,0.012099253945052624,0.4723629951477051,0.012099321000277996,0.39454466104507446,0.012099339626729488,0.012099303305149078,0.012099258601665497
text/198_(area= health professions;;social sciences)_(period= 2005-2010).txt,0.010361227206885815,0.010361223481595516,0.01036125048995018,0.01036122813820839,0.010361416265368462,0.010361257940530777,0.010361230000853539,0.8756650686264038,0.01036124024540186,0.010361222550272942,0.010361223481595516,0.010361218824982643,0.010361221618950367
text/426_(area= nursing)_(period= 2011-2017).txt,0.011952981352806091,0.011952974833548069,0.011952986009418964,0.011952970176935196,0.01195297110825777,0.01195297297090292,0.011952974833548069,0.8565642833709717,0.011952973902225494,0.01195297110825777,0.011952970176935196,0.01195297110825777,0.01195297297090292
text/428_(area= health professions;;social sciences)_(period= 2011-2017).txt,0.0099822748452425,0.009982389397919178,0.009982804767787457,0.009982411749660969,0.009982224553823471,0.009982920251786709,0.009982322342693806,0.6436229348182678,0.009982391260564327,0.009982449002563953,0.00998252909630537,0.24657005071640015,0.00998231302946806
text/99_(area= psychology)_(period= 1998-2004).txt,0.010341458953917027,0.010341360233724117,0.010341423563659191,0.010341599583625793,0.010341381654143333,0.010341368615627289,0.4592306911945343,0.42701372504234314,0.010341400280594826,0.010341429151594639,0.010341445915400982,0.010341373272240162,0.010341344401240349
text/361_(area= psychology)_(period= 2011-2017).txt,0.01013854518532753,0.01013848464936018,0.01013874914497137,0.01013848278671503,0.4034707546234131,0.010138514451682568,0.010138423182070255,0.48500490188598633,0.010138574987649918,0.01013855915516615,0.0101388581097126,0.010138632729649544,0.010138476267457008
