doc,1,2,3,4,5
data/abs_(id=12)__(issue=No 6 (2019))__(year=2019).txt,0.02097119204699993,0.02112405374646187,0.021068213507533073,0.915749967098236,0.02108658291399479
data/abs_(id=23)__(issue=No 4 (2019))__(year=2019).txt,0.03526313602924347,0.035374272614717484,0.8587166666984558,0.035198338329792016,0.035447534173727036
data/abs_(id=2)__(issue=No 8 (2020))__(year=2020).txt,0.022557752206921574,0.022689731791615486,0.02288363873958588,0.022645710036158558,0.9092231988906859
data/abs_(id=30)__(issue=No 4 (2019))__(year=2019).txt,0.02557103149592876,0.025737781077623367,0.8972596526145935,0.025640472769737244,0.02579105831682682
data/abs_(id=1)__(issue=No 8 (2020))__(year=2020).txt,0.02182023786008358,0.02206443622708321,0.0220715906471014,0.9119881391525269,0.022055545821785927
data/abs_(id=20)__(issue=No 4 (2019))__(year=2019).txt,0.8174802660942078,0.04564791917800903,0.04593756049871445,0.04544423520565033,0.045489981770515435
data/abs_(issue=No 6 (2019))__(year=2019).txt,0.020971186459064484,0.021123120561242104,0.02106813155114651,0.9157512187957764,0.021086324006319046
data/abs_(id=11)__(issue=No 6 (2019))__(year=2019).txt,0.027368616312742237,0.8899347186088562,0.02764271944761276,0.02751554362475872,0.0275383573025465
data/abs_(id=35)__(issue=No 2 (2018))__(year=2018).txt,0.023178156465291973,0.9067641496658324,0.023301677778363228,0.023339951410889626,0.023416083306074142
data/abs_(id=5)__(issue=No 7 (2019))__(year=2019).txt,0.02118346840143204,0.9146224856376648,0.02133340574800968,0.021286891773343086,0.021573694422841072
data/abs_(id=41)__(issue=No 1 (2017))__(year=2017).txt,0.02163361757993698,0.021798375993967056,0.021984053775668144,0.02176050655543804,0.9128233790397644
data/abs_(id=26)__(issue=No 4 (2019))__(year=2019).txt,0.8943439722061157,0.026346957311034203,0.026745591312646862,0.026109745725989345,0.02645372971892357
data/abs_(id=9)__(issue=No 6 (2019))__(year=2019).txt,0.8947072625160217,0.026340998709201813,0.0262584425508976,0.02619282715022564,0.02650042437016964
data/abs_(id=42)__(issue=No 1 (2017))__(year=2017).txt,0.028800118714571,0.02894467301666737,0.028968369588255882,0.8842496871948242,0.029037199914455414
data/abs_(id=36)__(issue=No 2 (2018))__(year=2018).txt,0.02141830138862133,0.021651806309819218,0.022070376202464104,0.9132393002510072,0.02162020467221737
data/abs_(id=25)__(issue=No 4 (2019))__(year=2019).txt,0.8580166697502136,0.035411037504673004,0.035720039159059525,0.03532196581363678,0.03553025424480438
data/abs_(id=13)__(issue=No 5 (2019))__(year=2019).txt,0.033011198043823235,0.0338372066617012,0.03333475813269615,0.8663890957832336,0.03342772275209427
data/abs_(issue=No 1 (2017))__(year=2017).txt,0.02880012057721615,0.02894471772015095,0.02896825037896633,0.8842493295669556,0.029037611559033394
data/abs_(id=39)__(issue=No 2 (2018))__(year=2018).txt,0.026535073295235637,0.893646240234375,0.026662515476346016,0.02655041217803955,0.0266057662665844
data/abs_(id=29)__(issue=No 4 (2019))__(year=2019).txt,0.8619152903556824,0.034060988575220115,0.03524808958172798,0.03442120924592018,0.03435439243912697
data/abs_(id=6)__(issue=No 6 (2019))__(year=2019).txt,0.021492959931492802,0.021775107830762863,0.02167872525751591,0.02169940248131752,0.9133538007736206
data/abs_(id=16)__(issue=No 5 (2019))__(year=2019).txt,0.025906726717948917,0.0260178055614233,0.026046540588140488,0.02597719244658947,0.8960517048835754
data/abs_(id=15)__(issue=No 5 (2019))__(year=2019).txt,0.025921225547790527,0.02631610445678234,0.8954753875732422,0.02595057711005211,0.026336761191487312
data/abs_(issue=No 7 (2019))__(year=2019).txt,0.021183449774980545,0.9146486520767212,0.021333223208785057,0.021286824718117714,0.021547826007008556
data/abs_(id=19)__(issue=No 4 (2019))__(year=2019).txt,0.047293219715356834,0.0473000630736351,0.048450388014316566,0.04768892750144005,0.8092674016952515
data/abs_(id=33)__(issue=No 3 (2018))__(year=2018).txt,0.022316895425319668,0.022444244474172592,0.02247742563486099,0.022375788539648056,0.9103856086730956
data/abs_(id=18)__(issue=No 4 (2019))__(year=2019).txt,0.027277292683720592,0.027257170528173447,0.8905987739562988,0.027590695768594745,0.02727608755230904
data/abs_(id=14)__(issue=No 5 (2019))__(year=2019).txt,0.021952413022518158,0.9109233617782592,0.022870415821671486,0.022142378613352776,0.022111410275101658
data/abs_(id=32)__(issue=No 3 (2018))__(year=2018).txt,0.02573282830417156,0.8962164521217346,0.026026876643300056,0.02602506056427956,0.025998806580901142
data/abs_(issue=No 8 (2020))__(year=2020).txt,0.02592439390718937,0.02607813663780689,0.8959954380989075,0.025976194068789482,0.026025837287306786
data/abs_(id=28)__(issue=No 4 (2019))__(year=2019).txt,0.026521539315581318,0.026752611622214317,0.8929399847984314,0.02694849669933319,0.026837369427084926
