topics/category,medicine,social sciences,psychology,agricultural and biological sciences,health professions,arts and humanities,immunology and microbiology,nursing,"biochemistry, genetics and molecular biology","pharmacology, toxicology and pharmaceutics","economics, econometrics and finance","business, management and accounting",neuroscience,multidisciplinary,physics and astronomy,mathematics,engineering,materials science,decision sciences,chemical engineering,environmental science,computer science
other,140,35,18,3,2,10,16,23,24,17,0,1,8,0,0,2,0,0,0,0,3,2
11,50,14,5,0,2,4,7,12,4,9,0,0,2,0,0,1,0,0,1,0,1,2
17,34,0,9,0,0,0,8,7,4,7,1,0,0,0,0,0,1,0,1,0,0,2
6,25,10,12,2,2,3,3,5,5,3,0,0,3,0,0,1,0,0,0,0,2,0
8,17,0,0,0,0,0,0,5,0,0,1,2,4,0,0,0,1,0,0,0,0,0
2,16,0,3,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0
14,0,9,0,1,3,0,5,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1
5,0,7,0,1,0,3,0,0,0,0,0,1,0,1,1,2,2,1,1,1,0,0
12,0,7,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0
1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,3
13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,3,6,7,0,6,1,1,0,0,0,0,0,0,0,0,2,0
3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
